category,total_skus,forecast_demand,actual_units,stock_on_hand,inventory_gap,average_inventory_risk,max_inventory_risk,critical_skus,high_risk_skus,shortage_skus,surplus_skus,balanced_skus,replenishment_units,excess_inventory_units,sales_value_at_risk,capital_locked_in_overstock,forecast_error,absolute_error,wape_percent
Grocery,395,114217.0,115900.0,34486.0,-79731.0,27.95,80.0,17,56,323,69,3,85296.0,5565.0,21282763.58,950689.53,1683.0,1683.0,1.45
Dairy & Bakery,428,131202.0,132994.0,38938.0,-92264.0,27.88,80.0,18,61,335,93,0,99776.0,7512.0,22384681.08,1020622.04,1792.0,1792.0,1.35
Home & Kitchen,390,108042.0,108190.0,37104.0,-70938.0,27.67,80.0,13,65,310,79,1,78833.0,7895.0,94067717.16,6565601.4,148.0,148.0,0.14
Electronics & Accessories,394,104667.0,107576.0,35782.0,-68885.0,27.61,80.0,12,68,305,88,1,75952.0,7067.0,134694812.83,8367772.25,2909.0,2909.0,2.7
Personal Care,410,207037.0,204556.0,36401.0,-170636.0,27.02,80.0,15,61,331,78,1,177134.0,6498.0,120131663.68,1697725.49,-2481.0,2481.0,1.21
Health & Wellness,396,95723.0,98605.0,34745.0,-60978.0,27.0,80.0,15,57,311,83,2,68251.0,7273.0,51032123.59,3500260.08,2882.0,2882.0,2.92
Snacks & Confectionery,414,95776.0,99452.0,37266.0,-58510.0,26.7,80.0,13,65,326,87,1,66100.0,7590.0,7310874.74,600592.66,3676.0,3676.0,3.7
Stationery & Office,459,133142.0,134468.0,40294.0,-92848.0,26.67,80.0,16,64,362,96,1,101354.0,8506.0,19580149.55,974065.11,1326.0,1326.0,0.99
Home Care,425,118870.0,120928.0,40108.0,-78762.0,26.47,80.0,9,64,335,86,4,86499.0,7737.0,24431363.84,1647666.41,2058.0,2058.0,1.7
Frozen Foods,422,118923.0,120187.0,37502.0,-81421.0,26.28,80.0,10,58,345,76,1,87916.0,6495.0,48606833.84,2638752.13,1264.0,1264.0,1.05
Apparel & Footwear,410,92959.0,97127.0,36419.0,-56540.0,26.17,80.0,6,59,325,83,2,62998.0,6458.0,106401617.82,7410243.26,4168.0,4168.0,4.29
Beverages,457,107451.0,111169.0,43511.0,-63940.0,26.14,80.0,9,69,359,98,0,73776.0,9836.0,10058735.49,862968.72,3718.0,3718.0,3.34
