sku_id,week_start,week_end,final_forecast,actual_units,forecast_error,absolute_error
SKU00002,2025-09-29,2025-10-05,193.0,184.0,-9.0,9.0
SKU00002,2025-10-06,2025-10-12,176.0,210.0,34.0,34.0
SKU00002,2025-10-13,2025-10-19,145.0,181.0,36.0,36.0
SKU00002,2025-10-20,2025-10-26,246.0,163.0,-83.0,83.0
SKU00002,2025-10-27,2025-11-02,211.0,221.0,10.0,10.0
SKU00002,2025-11-03,2025-11-09,256.0,208.0,-48.0,48.0
SKU00002,2025-11-10,2025-11-16,189.0,130.0,-59.0,59.0
SKU00002,2025-11-17,2025-11-23,233.0,114.0,-119.0,119.0
SKU00002,2025-11-24,2025-11-30,270.0,90.0,-180.0,180.0
SKU00002,2025-12-01,2025-12-07,278.0,186.0,-92.0,92.0
SKU00002,2025-12-08,2025-12-14,255.0,318.0,63.0,63.0
SKU00002,2025-12-15,2025-12-21,261.0,270.0,9.0,9.0
SKU00002,2025-12-22,2025-12-28,269.0,249.0,-20.0,20.0
SKU00008,2025-11-24,2025-11-30,20.0,20.0,0.0,0.0
SKU00010,2025-12-22,2025-12-28,23.0,13.0,-10.0,10.0
SKU00020,2025-09-29,2025-10-05,71.0,76.0,5.0,5.0
SKU00020,2025-10-06,2025-10-12,125.0,94.0,-31.0,31.0
SKU00020,2025-10-13,2025-10-19,84.0,96.0,12.0,12.0
SKU00020,2025-10-20,2025-10-26,104.0,109.0,5.0,5.0
SKU00020,2025-10-27,2025-11-02,80.0,89.0,9.0,9.0
SKU00020,2025-11-03,2025-11-09,117.0,123.0,6.0,6.0
SKU00020,2025-11-10,2025-11-16,97.0,118.0,21.0,21.0
SKU00020,2025-11-17,2025-11-23,121.0,95.0,-26.0,26.0
SKU00020,2025-11-24,2025-11-30,149.0,120.0,-29.0,29.0
SKU00020,2025-12-01,2025-12-07,137.0,76.0,-61.0,61.0
SKU00020,2025-12-08,2025-12-14,112.0,74.0,-38.0,38.0
SKU00020,2025-12-15,2025-12-21,121.0,61.0,-60.0,60.0
SKU00020,2025-12-22,2025-12-28,119.0,106.0,-13.0,13.0
SKU00022,2025-12-15,2025-12-21,22.0,7.0,-15.0,15.0
SKU00029,2025-10-13,2025-10-19,23.0,8.0,-15.0,15.0
SKU00029,2025-11-17,2025-11-23,28.0,18.0,-10.0,10.0
SKU00029,2025-12-01,2025-12-07,25.0,26.0,1.0,1.0
SKU00029,2025-12-15,2025-12-21,23.0,29.0,6.0,6.0
SKU00042,2025-12-08,2025-12-14,23.0,13.0,-10.0,10.0
SKU00055,2025-09-29,2025-10-05,36.0,21.0,-15.0,15.0
SKU00055,2025-10-06,2025-10-12,27.0,17.0,-10.0,10.0
SKU00055,2025-10-13,2025-10-19,25.0,22.0,-3.0,3.0
SKU00055,2025-10-20,2025-10-26,31.0,20.0,-11.0,11.0
SKU00055,2025-11-03,2025-11-09,36.0,35.0,-1.0,1.0
SKU00055,2025-11-10,2025-11-16,27.0,19.0,-8.0,8.0
SKU00055,2025-11-17,2025-11-23,26.0,45.0,19.0,19.0
SKU00055,2025-11-24,2025-11-30,42.0,21.0,-21.0,21.0
SKU00055,2025-12-01,2025-12-07,32.0,47.0,15.0,15.0
SKU00055,2025-12-08,2025-12-14,27.0,27.0,0.0,0.0
SKU00055,2025-12-15,2025-12-21,37.0,28.0,-9.0,9.0
SKU00055,2025-12-22,2025-12-28,24.0,37.0,13.0,13.0
SKU00072,2025-12-08,2025-12-14,33.0,5.0,-28.0,28.0
SKU00088,2025-12-08,2025-12-14,20.0,28.0,8.0,8.0
SKU00089,2025-10-06,2025-10-12,26.0,23.0,-3.0,3.0
SKU00089,2025-10-27,2025-11-02,20.0,22.0,2.0,2.0
SKU00089,2025-11-03,2025-11-09,33.0,33.0,0.0,0.0
SKU00089,2025-11-17,2025-11-23,32.0,22.0,-10.0,10.0
SKU00089,2025-12-01,2025-12-07,23.0,29.0,6.0,6.0
SKU00089,2025-12-08,2025-12-14,24.0,19.0,-5.0,5.0
SKU00089,2025-12-15,2025-12-21,28.0,26.0,-2.0,2.0
SKU00089,2025-12-22,2025-12-28,20.0,24.0,4.0,4.0
SKU00121,2025-11-17,2025-11-23,23.0,8.0,-15.0,15.0
SKU00152,2025-11-24,2025-11-30,26.0,30.0,4.0,4.0
SKU00152,2025-12-15,2025-12-21,23.0,16.0,-7.0,7.0
SKU00152,2025-12-22,2025-12-28,24.0,17.0,-7.0,7.0
SKU00158,2025-09-29,2025-10-05,23.0,33.0,10.0,10.0
