sku_id,forecast_demand,actual_units,stock_on_hand,stockout_risk,overstock_risk,demand_risk,inventory_risk_score,inventory_coverage_weeks,risk_level,primary_risk_driver,business_priority,sku_name,category,inventory_gap,recommended_replenishment_units,excess_inventory_units,inventory_status,recommended_action,business_recommendation,unit_price,unit_cost,sales_value_at_risk,capital_locked_in_overstock,forecast_error,absolute_error
SKU00002,2982.0,2524.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CrispKing Bread Family Pack,Dairy & Bakery,-2982.0,2982.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,70.38,49.57,209873.16,0.0,-458.0,458.0
SKU00020,1437.0,1237.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SmartBuy Rice & Grains 2L,Grocery,-1437.0,1437.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,109.5,69.58,157351.5,0.0,-200.0,200.0
SKU00158,368.0,411.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CrispKing Ice Cream 100g,Frozen Foods,-368.0,368.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,487.98,309.41,179576.64,0.0,43.0,43.0
SKU00169,2066.0,2123.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,DailyBest Office Supplies 500ml,Stationery & Office,-2066.0,2066.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,95.37,60.41,197034.42,0.0,57.0,57.0
SKU00190,7961.0,6642.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ZestyCo Writing Instruments 1L,Stationery & Office,-7961.0,7961.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,145.42,84.74,1157688.62,0.0,-1319.0,1319.0
SKU00363,1264.0,1047.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CityFresh Home Decor 2L,Home & Kitchen,-1264.0,1264.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1103.75,699.49,1395140.0,0.0,-217.0,217.0
SKU00416,995.0,1062.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CityFresh Namkeen 1L,Snacks & Confectionery,-995.0,995.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,75.12,48.29,74744.4,0.0,67.0,67.0
SKU00422,634.0,750.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GreenValley Bath & Body Family Pack,Personal Care,-634.0,634.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,276.63,187.02,175383.42,0.0,116.0,116.0
SKU00692,1720.0,1619.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SoftTouch OTC Medicine Pack of 6,Health & Wellness,-1720.0,1720.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,235.52,187.94,405094.4,0.0,-101.0,101.0
SKU00774,1728.0,1720.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GreenValley Energy Drinks 1kg,Beverages,-1728.0,1728.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,94.61,73.97,163486.08,0.0,-8.0,8.0
SKU00830,932.0,790.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Ice Cream Medium,Frozen Foods,-932.0,932.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,290.01,208.06,270289.32,0.0,-142.0,142.0
SKU00832,882.0,773.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ZestyCo Small Appliances 2L,Electronics & Accessories,-882.0,882.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,946.53,687.6,834839.46,0.0,-109.0,109.0
SKU00836,740.0,629.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GoldenHarvest Vitamins & Supplements 250g,Health & Wellness,-740.0,740.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,765.01,536.85,566107.4,0.0,-111.0,111.0
SKU00910,613.0,696.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,BasicNeeds Butter & Ghee 2L,Dairy & Bakery,-613.0,613.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,313.65,189.2,192267.45,0.0,83.0,83.0
SKU00920,2254.0,2237.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PremiumSelect Sugar & Salt 100g,Grocery,-2254.0,2254.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,114.73,87.31,258601.42,0.0,-17.0,17.0
